timestamp,ecg_measurement,qrs_detected
9.865740400000000000e+07,2.570869922600000024e+00,0.000000000000000000e+00
9.866131600000000000e+07,2.888563156100000029e+00,0.000000000000000000e+00
9.866523600000000000e+07,3.230694055499999884e+00,0.000000000000000000e+00
9.866914800000000000e+07,3.479960918400000214e+00,0.000000000000000000e+00
9.867306400000000000e+07,3.460410594899999914e+00,0.000000000000000000e+00
9.867697200000000000e+07,3.176930665900000061e+00,0.000000000000000000e+00
9.868088400000000000e+07,2.761485814999999899e+00,0.000000000000000000e+00
9.868479600000000000e+07,2.267839670099999871e+00,0.000000000000000000e+00
9.868872000000000000e+07,1.823069476999999994e+00,0.000000000000000000e+00
9.869262800000000000e+07,1.441837787599999920e+00,0.000000000000000000e+00
9.869655600000000000e+07,1.202346086499999966e+00,0.000000000000000000e+00
9.870047600000000000e+07,1.124144673300000008e+00,0.000000000000000000e+00
9.870440000000000000e+07,1.187683343800000069e+00,0.000000000000000000e+00
9.870831600000000000e+07,1.309872865600000047e+00,0.000000000000000000e+00
9.871222800000000000e+07,1.412512207000000020e+00,0.000000000000000000e+00
9.871614800000000000e+07,1.485826015400000033e+00,0.000000000000000000e+00
9.872006000000000000e+07,1.549364566800000009e+00,0.000000000000000000e+00
9.872398800000000000e+07,1.627565956099999989e+00,0.000000000000000000e+00
9.872790800000000000e+07,1.676441764800000067e+00,0.000000000000000000e+00
9.873183600000000000e+07,1.691104650400000020e+00,0.000000000000000000e+00
9.873574800000000000e+07,1.661779022199999956e+00,0.000000000000000000e+00
9.873967600000000000e+07,1.647116279600000066e+00,0.000000000000000000e+00
9.874360800000000000e+07,1.671554183900000101e+00,0.000000000000000000e+00
9.874753200000000000e+07,1.705767393099999918e+00,0.000000000000000000e+00
9.875145200000000000e+07,1.705767393099999918e+00,0.000000000000000000e+00
9.875537200000000000e+07,1.656891441299999990e+00,0.000000000000000000e+00
9.875930000000000000e+07,1.627565956099999989e+00,0.000000000000000000e+00
9.876322000000000000e+07,1.642228698700000100e+00,0.000000000000000000e+00
9.876714000000000000e+07,1.686216926499999991e+00,0.000000000000000000e+00
9.877105600000000000e+07,1.691104650400000020e+00,0.000000000000000000e+00
9.877496400000000000e+07,1.661779022199999956e+00,0.000000000000000000e+00
9.877888400000000000e+07,1.656891441299999990e+00,0.000000000000000000e+00
9.878281200000000000e+07,1.691104650400000020e+00,0.000000000000000000e+00
9.878672800000000000e+07,1.744868040000000065e+00,0.000000000000000000e+00
9.879063200000000000e+07,1.779081106100000031e+00,0.000000000000000000e+00
9.879454400000000000e+07,1.769305944400000108e+00,0.000000000000000000e+00
9.879845200000000000e+07,1.764418363499999920e+00,0.000000000000000000e+00
9.880238400000000000e+07,1.788856267899999963e+00,0.000000000000000000e+00
